XCoord,YCoord,FID,REQUESTID,REQCAT,DESC,DATEINIT,STATUS,DATECLOSED,CANCEL,PROBCODE,SHOP,TILENO,DOMAINID,SRX,SRY
-84.56737527,42.70799484,58,112301,SEWER,CAVE IN,2017-07-20 00:00:00,CLOSED,2017-09-08 00:00:00,N,CAVE IN,LG-29,4,2,13069418.010000,440286.770000
-84.55250267,42.70930760,59,112332,SEWER,CAVE IN,2017-07-24 00:00:00,CLOSED,2017-07-24 00:00:00,N,CAVE IN,LG-28,1,2,13073416.250000,440756.000000
-84.55187051,42.70801237,60,112344,SEWER,SEWER PROBLEM,2017-07-24 00:00:00,CLOSED,2017-07-26 00:00:00,N,SEWER PROBLEM,LG-28,1,2,13073585.110000,440283.610000
-84.56348530,42.74903812,61,112382,SEWER,SEWER ODOR,2017-07-26 00:00:00,CLOSED,2017-07-26 00:00:00,N,SEWER ODOR,LG-08,4,2,13070498.450000,455241.560000
-84.53806153,42.69657805,62,112390,SEWER,SEWER ODOR,2017-07-27 00:00:00,CLOSED,2017-08-07 00:00:00,N,SEWER ODOR,LG-34,2,2,13077287.950000,436108.790000
-84.60149316,42.75875444,63,112414,SEWER,PLUGGED CB-CLVRT,2017-07-28 00:00:00,CLOSED,2017-08-02 00:00:00,N,PLUGGED CB-CLVRT,LG-06,4,2,13060300.028000,458808.623000
-84.53959307,42.69496578,64,112428,SEWER,SEWER ODOR,2017-07-31 00:00:00,CLOSED,2017-08-01 00:00:00,N,SEWER ODOR,LG-34,2,2,13076875.050000,435522.080000
-84.61006183,42.69565913,65,112460,SEWER,SEW-WTR IN BSMNT,2017-08-01 00:00:00,CLOSED,2017-08-04 00:00:00,N,SEW-WTR IN BSMNT,DA-36,3,2,13057932.510000,435821.590000
-84.59442453,42.68340729,66,112470,SEWER,SEWER ODOR,2017-08-02 00:00:00,CLOSED,2017-08-04 00:00:00,N,SEWER ODOR,LG-31,3,2,13062123.970000,431344.960000
-84.54721359,42.71192153,67,112476,SEWER,CAVE IN,2017-08-02 00:00:00,CLOSED,2017-08-04 00:00:00,N,CAVE IN,LG-28,1,2,13074839.766000,441705.489000
-84.59852922,42.68948616,68,112486,SEWER,CB-MH COVER,2017-08-03 00:00:00,CLOSED,2017-09-07 00:00:00,N,CB-MH COVER,LG-31,3,2,13061026.450000,433563.260000
-84.54146541,42.74429106,69,112494,SEWER,DRAINAGE PROBLEM,2017-08-03 00:00:00,CLOSED,2017-08-04 00:00:00,N,DRAINAGE PROBLEM,LG-10,1,2,13076409.050000,453498.550000
-84.50489359,42.74561728,70,112495,SEWER,SEW-WTR IN BSMNT,2017-08-03 00:00:00,CLOSED,2017-08-04 00:00:00,N,SEW-WTR IN BSMNT,LG-11,1,2,13086233.210000,453963.600000
-84.55392175,42.67036615,71,112525,SEWER,SEW-WTR IN BSMNT,2017-08-04 00:00:00,CLOSED,2017-08-09 00:00:00,N,SEW-WTR IN BSMNT,DI-04,2,2,13073003.300000,426565.610000
-84.52464124,42.72603696,72,112548,SEWER,SEW-WTR IN BSMNT,2017-08-07 00:00:00,CLOSED,2017-08-09 00:00:00,N,SEW-WTR IN BSMNT,LG-22,1,2,13080915.620000,446837.330000
-84.53066387,42.75315893,73,112583,SEWER,SEW-WTR IN BSMNT,2017-08-09 00:00:00,CLOSED,2017-08-10 00:00:00,N,SEW-WTR IN BSMNT,LG-10,1,2,13079316.690000,456724.410000
-84.51767507,42.75605529,74,112591,SEWER,PLUGGED CB-CLVRT,2017-08-09 00:00:00,CLOSED,2017-08-10 00:00:00,N,PLUGGED CB-CLVRT,LG-02,1,2,13082806.940000,457773.400000
-84.58258121,42.70794440,75,112608,SEWER,SEWER ODOR,2017-08-10 00:00:00,CLOSED,2017-08-10 00:00:00,N,SEWER ODOR,LG-30,3,2,13065331.190000,440278.500000
-84.59677284,42.69945850,76,112618,SEWER,CAVE IN,2017-08-11 00:00:00,CLOSED,2017-08-21 00:00:00,N,CAVE IN,LG-30,3,2,13061508.570000,437196.130000
-84.57168117,42.74600765,77,112634,SEWER,CAVE IN,2017-08-13 00:00:00,CLOSED,2017-08-14 00:00:00,N,CAVE IN,LG-08,4,2,13068294.480000,454142.429000
